Prov.,0-4,09-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,
Newfoundland and Labrador,20402,23376,26186,26994,28910,28076,28942,30151,31426,35754,40214,43105,42339,39718,33179,43331,522103,9
Prince Edward Island,7199,8248,8966,9340,11577,10321,9212,9314,9586,10231,10319,12005,11350,10116,9106,12735,159625,10
Nova Scotia,42443,46177,48170,50776,61556,63359,61264,58683,56907,61194,65276,78780,75941,66676,57399,84750,979351,7
New Brunswick,33582,38199,40354,40662,43490,43981,44703,46655,48179,51551,54044,63300,61514,55477,46962,68823,781476,8
Quebec,430250,465890,457420,426496,499370,564669,548066,578273,581724,527233,546847,637724,619126,529279,440008,722196,8574571,2
Ontario,723016,762654,792947,852405,1039661,1077433,1041952,992844,921378,932058,968546,1073519,961243,803962,673546,1116850,14734014,1
Manitoba,85220,89507,86583,85808,96636,97157,98789,95203,86739,82541,80302,89949,83163,70981,57001,93684,1379263,5
Saskatchewan,75200,78696,76730,71304,75402,77488,85751,86664,76067,67397,65716,77024,74222,62071,46528,82421,1178681,6
Alberta,269163,277785,276328,256742,277328,314507,356226,359301,319889,288546,266489,284259,264339,210073,157657,243244,4421876,4
BritishColumbia,225897,244206,249173,272195,340325,358457,376466,363871,323620,325674,343894,376848,360150,314021,262197,410718,5147712,3
Yukon,2413,2508,2246,2067,2346,2828,3468,3549,3050,2864,2753,3233,3116,2385,1532,1694,42052,12
Northwest Territories,2963,3081,3010,2793,3028,3688,3705,3405,3348,2919,3238,3389,2619,1818,1048,1109,45161,11
Nunavut,4196,4276,3987,3283,3173,3276,3179,2767,2334,2154,2277,1761,1119,698,459,414,39353,13
AtlanticBubble,103626,116000,123676,127772,145533,145737,144121,144803,146098,158730,169853,197190,191144,171987,146646,209639,2442555,
Canada,1921944,2044603,2072100,2100865,2482802,2645240,2661723,2630680,2464247,2390116,2449915,2744896,2560241,2167275,1786622,2881969,38005238,38005238
