ProvinceName,ProvinceCode,Date,C1_SchoolsClosing,C2_WorkplaceClosing,C3_Others
Alberta,AB,20200101,0,0,0
Alberta,AB,20200102,0,0,0
Alberta,AB,20200103,0,0,0
Alberta,AB,20200104,0,0,0
Alberta,AB,20200105,0,0,0
Alberta,AB,20200106,0,0,0
Alberta,AB,20200107,0,0,0
Alberta,AB,20200108,0,0,0
Alberta,AB,20200109,0,0,0
Alberta,AB,20200110,0,0,0
Alberta,AB,20200111,0,0,0
Alberta,AB,20200112,0,0,0
Alberta,AB,20200113,0,0,0
Alberta,AB,20200114,0,0,0
Alberta,AB,20200115,0,0,0
Alberta,AB,20200116,0,0,0
Alberta,AB,20200117,0,0,0
Alberta,AB,20200118,0,0,0
Alberta,AB,20200119,0,0,0
Alberta,AB,20200120,0,0,0
Alberta,AB,20200121,0,0,0
Alberta,AB,20200122,0,0,0
Alberta,AB,20200123,0,0,0
Alberta,AB,20200124,0,0,0
Alberta,AB,20200125,0,0,0
Alberta,AB,20200126,0,0,0
Alberta,AB,20200127,0,0,0
Alberta,AB,20200128,0,0,0
Alberta,AB,20200129,0,0,0
Alberta,AB,20200130,0,0,0
Alberta,AB,20200131,0,0,0
Alberta,AB,20200201,0,0,0
Alberta,AB,20200202,0,0,0
Alberta,AB,20200203,0,0,0
Alberta,AB,20200204,0,0,0
Alberta,AB,20200205,0,0,0
Alberta,AB,20200206,0,0,0
Alberta,AB,20200207,0,0,0
Alberta,AB,20200208,0,0,0
Alberta,AB,20200209,0,0,0
Alberta,AB,20200210,0,0,0
Alberta,AB,20200211,0,0,0
Alberta,AB,20200212,0,0,0
Alberta,AB,20200213,0,0,0
Alberta,AB,20200214,0,0,0
Alberta,AB,20200215,0,0,0
Alberta,AB,20200216,0,0,0
Alberta,AB,20200217,0,0,0
Alberta,AB,20200218,0,0,0
Alberta,AB,20200219,0,0,0
Alberta,AB,20200220,0,0,0
Alberta,AB,20200221,0,0,0
Alberta,AB,20200222,0,0,0
Alberta,AB,20200223,0,0,0
Alberta,AB,20200224,0,0,0
Alberta,AB,20200225,0,0,0
Alberta,AB,20200226,0,0,0
Alberta,AB,20200227,0,0,0
Alberta,AB,20200228,0,0,0
Alberta,AB,20200229,0,0,0
Alberta,AB,20200301,0,0,0
Alberta,AB,20200302,0,0,0
Alberta,AB,20200303,0,0,0
Alberta,AB,20200304,0,0,0
Alberta,AB,20200305,0,0,0
Alberta,AB,20200306,0,0,0
Alberta,AB,20200307,0,0,0
Alberta,AB,20200308,0,0,0
Alberta,AB,20200309,0,0,0
Alberta,AB,20200310,0,0,0
Alberta,AB,20200311,0,0,0
Alberta,AB,20200312,0,1,0
Alberta,AB,20200313,0,1,0
Alberta,AB,20200314,0,1,0
Alberta,AB,20200315,3,1,0
Alberta,AB,20200316,3,1,0
Alberta,AB,20200317,3,1,1
Alberta,AB,20200318,3,1,1
Alberta,AB,20200319,3,1,1
Alberta,AB,20200320,3,1,1
Alberta,AB,20200321,3,1,1
Alberta,AB,20200322,3,1,1
Alberta,AB,20200323,3,1,1
Alberta,AB,20200324,3,1,1
Alberta,AB,20200325,3,1,1
Alberta,AB,20200326,3,1,1
Alberta,AB,20200327,3,2,1
Alberta,AB,20200328,3,2,3
Alberta,AB,20200329,3,2,3
Alberta,AB,20200330,3,2,3
Alberta,AB,20200331,3,2,3
Alberta,AB,20200401,3,2,3
Alberta,AB,20200402,3,2,3
Alberta,AB,20200403,3,2,3
Alberta,AB,20200404,3,2,3
Alberta,AB,20200405,3,2,3
Alberta,AB,20200406,3,2,3
Alberta,AB,20200407,3,2,3
Alberta,AB,20200408,3,2,3
Alberta,AB,20200409,3,2,3
Alberta,AB,20200410,3,2,3
Alberta,AB,20200411,3,2,3
Alberta,AB,20200412,3,2,3
Alberta,AB,20200413,3,2,3
Alberta,AB,20200414,3,2,3
Alberta,AB,20200415,3,2,3
Alberta,AB,20200416,3,2,3
Alberta,AB,20200417,3,2,3
Alberta,AB,20200418,3,2,3
