ProvinceName,ProvinceCode,Date,C1_SchoolsClosing,C2_WorkplaceClosing,C3_Others
California,CA,20200101,0,0,0
California,CA,20200102,0,0,0
California,CA,20200103,0,0,0
California,CA,20200104,0,0,0
California,CA,20200105,0,0,0
California,CA,20200106,0,0,0
California,CA,20200107,0,0,0
California,CA,20200108,0,0,0
California,CA,20200109,0,0,0
California,CA,20200110,0,0,0
California,CA,20200111,0,0,0
California,CA,20200112,0,0,0
California,CA,20200113,0,0,0
California,CA,20200114,0,0,0
California,CA,20200115,0,0,0
California,CA,20200116,0,0,0
California,CA,20200117,0,0,0
California,CA,20200118,0,0,0
California,CA,20200119,0,0,0
California,CA,20200120,0,0,0
California,CA,20200121,0,0,0
California,CA,20200122,0,0,0
California,CA,20200123,0,0,0
California,CA,20200124,0,0,0
California,CA,20200125,0,0,0
California,CA,20200126,0,0,0
California,CA,20200127,0,0,0
California,CA,20200128,0,0,0
California,CA,20200129,0,0,0
California,CA,20200130,0,0,0
California,CA,20200131,0,0,0
California,CA,20200201,0,0,0
California,CA,20200202,0,0,0
California,CA,20200203,0,0,0
California,CA,20200204,0,0,0
California,CA,20200205,0,0,0
California,CA,20200206,0,0,0
California,CA,20200207,0,0,0
California,CA,20200208,0,0,0
California,CA,20200209,0,0,0
California,CA,20200210,0,0,0
California,CA,20200211,0,0,0
California,CA,20200212,0,0,0
California,CA,20200213,0,0,0
California,CA,20200214,0,0,0
California,CA,20200215,0,0,0
California,CA,20200216,0,0,0
California,CA,20200217,0,0,0
California,CA,20200218,0,0,0
California,CA,20200219,0,0,0
California,CA,20200220,0,0,0
California,CA,20200221,0,0,0
California,CA,20200222,0,0,0
California,CA,20200223,0,0,0
California,CA,20200224,0,0,0
California,CA,20200225,0,0,0
California,CA,20200226,0,0,0
California,CA,20200227,0,0,0
California,CA,20200228,0,0,0
California,CA,20200229,0,0,0
California,CA,20200301,0,0,0
California,CA,20200302,0,0,0
California,CA,20200303,0,0,0
California,CA,20200304,0,0,0
California,CA,20200305,0,0,0
California,CA,20200306,0,0,0
California,CA,20200307,0,0,0
California,CA,20200308,0,0,0
California,CA,20200309,0,0,0
California,CA,20200310,0,0,0
California,CA,20200311,0,2,2
California,CA,20200312,0,2,2
California,CA,20200313,3,2,3
California,CA,20200314,3,2,3
California,CA,20200315,3,2,3
California,CA,20200316,3,2,3
California,CA,20200317,3,2,3
California,CA,20200318,3,2,3
California,CA,20200319,3,3,3
California,CA,20200320,3,3,3
California,CA,20200321,3,3,3
California,CA,20200322,3,3,3
California,CA,20200323,3,3,3
California,CA,20200324,3,3,3
California,CA,20200325,3,3,3
California,CA,20200326,3,3,3
California,CA,20200327,3,3,3
California,CA,20200328,3,3,3
California,CA,20200329,3,3,3
California,CA,20200330,3,3,3
California,CA,20200331,3,3,3
California,CA,20200401,3,3,3
California,CA,20200402,3,3,3
California,CA,20200403,3,3,3
California,CA,20200404,3,3,3
California,CA,20200405,3,3,3
California,CA,20200406,3,3,3
California,CA,20200407,3,3,3
California,CA,20200408,3,3,3
California,CA,20200409,3,3,3
California,CA,20200410,3,3,3
California,CA,20200411,3,3,3
California,CA,20200412,3,3,3
California,CA,20200413,3,3,3
California,CA,20200414,3,3,3
California,CA,20200415,3,3,3
California,CA,20200416,3,3,3
California,CA,20200417,3,3,3
California,CA,20200418,3,3,3
California,CA,20200419,3,3,3
California,CA,20200420,3,3,3
California,CA,20200421,3,3,3
California,CA,20200422,3,3,3
California,CA,20200423,3,3,3
California,CA,20200424,3,3,3
California,CA,20200425,3,3,3
California,CA,20200426,3,3,3
California,CA,20200427,3,3,3
California,CA,20200428,3,3,3
California,CA,20200429,3,3,3
California,CA,20200430,3,3,3
California,CA,20200501,3,3,3
California,CA,20200502,3,3,3
California,CA,20200503,3,3,3
California,CA,20200504,3,3,3
California,CA,20200505,3,3,3
California,CA,20200506,3,3,3
California,CA,20200507,2,2,2
California,CA,20200508,2,2,2
California,CA,20200509,2,2,2
California,CA,20200510,2,2,2
California,CA,20200511,2,2,2
California,CA,20200512,2,2,2
California,CA,20200513,2,2,2
California,CA,20200514,2,2,2
California,CA,20200515,2,2,2
California,CA,20200516,2,2,2
California,CA,20200517,2,2,2
California,CA,20200518,2,2,2
California,CA,20200519,2,2,2
California,CA,20200520,2,2,2
California,CA,20200521,2,2,2
California,CA,20200522,2,2,2
California,CA,20200523,2,2,2
California,CA,20200524,2,2,2
California,CA,20200525,2,2,2
California,CA,20200526,2,2,2
California,CA,20200527,2,2,2
California,CA,20200528,2,2,2
California,CA,20200529,2,2,2
